IDCNTRY,IDSCHOOL,language,disc_prob_score,acad_emph_score,math_shortage_score,sci_shortage_score,acad_hours,disc_prob,acad_emph,math_shortage,sci_shortage,socio_background,mmat_avg,ssci_avg,malg_avg,mapp_avg,mdat_avg,mgeo_avg,mkno_avg,mnum_avg,mrea_avg,sapp_avg,sbio_avg,sche_avg,sear_avg,skno_avg,sphy_avg,srea_avg
152,5001,Spanish,12.80218,15.09677,4.23486,4.07624,1600.0,Hardly Any Problems,Very High Emphasis,Affected A Lot,Affected A Lot,Neither More Affluent nor More Disadvantaged,426.4415910967742,446.39240419354826,417.5060098709678,425.5193976129033,419.1187140645161,413.05915516129033,417.4173326451613,427.4671186451613,431.3043250967742,438.8334185806452,453.6197878064516,435.53751664516125,450.7075370322581,440.27627806451613,437.13717141935484,436.3000473548387
152,5002,Spanish,12.80218,10.76309,9.84801,9.69082,1770.0,Hardly Any Problems,High Emphasis,Affected,Affected,Neither More Affluent nor More Disadvantaged,436.8461258857143,453.55506262857153,439.0484079428572,439.7958882857143,424.9460429142856,428.5870705714286,426.1768347428572,433.98399359999996,447.2650487428572,448.3115637142857,458.7962981714286,434.03245765714286,445.7594429142858,451.4995830285714,443.3273929714286,451.42068662857145
152,5004,Spanish,14.02858,9.85898,9.41874,9.36128,1200.0,Hardly Any Problems,High Emphasis,Affected,Affected,More Disadvantaged,398.0166096,407.08195159999997,405.8961332,402.180076,388.7957708,424.72532119999994,387.5993952,413.00196800000003,414.40053879999994,390.4491472,417.3231656,409.5860524,431.3457212,406.00904560000004,416.8448068000001,419.538398
152,5005,Spanish,12.80218,7.73586,8.44578,8.01668,1068.0,Hardly Any Problems,Medium Emphasis,Affected,Affected,Neither More Affluent nor More Disadvantaged,426.48122199999995,465.3040802857143,412.87114600000007,426.4240837142857,424.7600374285715,422.83406542857153,420.405662,426.2619408571428,442.9304091428572,456.29296742857144,456.91655600000007,445.2937548571428,483.45083142857146,442.90424257142865,456.12238799999994,451.84180828571425
152,5007,Spanish,10.80136,9.26475,8.18097,8.44672,1638.0,Hardly Any Problems,Medium Emphasis,Affected,Affected,More Disadvantaged,414.92517200000003,416.00810945454543,402.5661809090909,413.47894381818185,412.3003823636363,409.3578494545455,399.1400049090909,418.06850581818185,427.20795472727275,415.8830889090909,434.00377163636364,387.28720309090914,427.0270914545454,430.21750345454547,419.1629538181818,416.32499254545456
152,5010,Spanish,10.43939,11.35999,11.5338,11.70901,,Minor Problems,High Emphasis,Not Affected,Not Affected,More Affluent,534.4794100689655,544.7261537241379,543.3277044137931,527.6713235862069,537.5592951724138,532.2825702758621,535.7744177931035,535.1773662068966,536.0754036551724,544.1815766896552,560.3168728275862,526.1466075862071,549.2697906896551,547.3129408275862,543.5686684827588,541.0657218620689
152,5011,Spanish,7.29658,11.06274,14.25596,12.05633,1122.0,Moderate to Severe Problems,High Emphasis,Not Affected,Not Affected,More Disadvantaged,392.0240728461538,418.96792146153854,387.7627633076922,385.81267900000006,386.7986475384617,397.552986923077,381.2682214615384,398.54761107692315,415.9424732307692,417.442477,426.7408026923076,392.91910369230783,430.400728,420.03412692307694,401.0268643846154,419.5659948461538
152,5013,Spanish,7.41582,6.24903,9.41874,9.57915,1008.0,Moderate to Severe Problems,Medium Emphasis,Affected,Affected,More Disadvantaged,409.387869925926,432.66055355555557,409.02174118518525,404.7408562962964,405.73929251851854,402.123535925926,394.5140345925927,406.30385170370363,420.2498697037038,424.41248651851856,454.4250658518518,401.3791014074076,431.7541808148149,439.92243711111115,426.4563908148148,424.75668177777777
152,5014,Spanish,9.253,9.26475,9.96435,10.04727,,Minor Problems,Medium Emphasis,Affected,Affected,More Disadvantaged,401.4854896666667,422.9964454444444,390.58452022222224,398.21128722222227,395.67915088888896,386.77976533333344,386.18214788888895,398.1766156666667,402.47160855555546,431.67435011111115,420.95815766666675,392.6695577777778,425.7988535555556,415.35961688888875,394.26542166666667,415.1832162222223
152,5015,Spanish,9.253,11.06274,9.52239,9.14554,1290.0,Minor Problems,High Emphasis,Affected,Affected,More Disadvantaged,552.7339293513515,556.663859837838,562.6956138378379,550.0128654054055,546.6893489729729,543.4673691351353,554.1417202702703,552.6493851891892,549.0706648108109,564.1774542702705,572.5645510270272,534.3140125945944,564.2560460000001,556.8555154594595,548.8450245405406,556.6169621621622
